title	abbreviation
Nordrhein-Westfälische Verwaltungsblätter	NWVBl
Neue Zeitschrift für Arbeitsrecht	NZA
Neue Zeitschrift für Baurecht und Vergaberecht	NZBau
Neue Zeitschrift für Familienrecht	NZFam
Neue Zeitschrift für Gesellschaftsrecht	NZG
Neue Zeitschrift für Insolvenz- und Sanierungsrecht	NZI
Neue Zeitschrift für Kartellrecht	NZKart
Neue Zeitschrift für Miet- und Wohnungsrecht	NZM
Neue Zeitschrift für Sozialrecht	NZS
Neue Zeitschrift für Verkehrsrecht	NZV
Neue Zeitschrift für Wehrrecht	NZWehrr
Neue Zeitschrift für Wirtschafts-, Steuer- und Unternehmensstrafrecht	NZWiSt
Zeitschrift für das öffentliche Arbeits- und Tarifrecht	öAT
Osteuropa-Recht	OER
Die Personalvertretung	PersV
Pflegerecht	PflR
Pharma Recht	PharmR
Praxis der Rechtspsychologie
Rabels Zeitschrift für ausländisches und internationales Privatrecht	RabelsZ
Recht Automobil Wirtschaft	RAW
Recht der Arbeit	RdA
Recht der Energiewirtschaft	RdE
Recht der Finanzinstrumente	RdFin
Recht Digital	RDi
Recht der Landwirtschaft	RdL
Recht der Jugend und des Bildungswesens	RdJB
Recht der Transportwirtschaft	RdTW
Recht der Datenverarbeitung	RDV
Rechtsmedizin	RechtsMed
Recht der erneuerbaren Energien	ree
Recht im Amt	RiA
Recht in Afrika	RiA
Recht der Internationalen Wirtschaft	RIW
Rheinische Notar-Zeitschrift	RNotZ
Richter ohne Robe	RohR
Der Deutsche Rechtspfleger	Rpfleger
Rechtsphilosophie	RphZ
Recht und Politik im Gesundheitswesen	RPG
ReiseRecht aktuell	RRa
Rechtstheorie	RT
Recht & Psychiatrie	R&P
Recht und Politik	RuP
recht + schaden	r+s
Recht und Zugang	RuZ
Rechtswissenschaft	RW
Sächsische Verwaltungsblätter	SächsVBl
SchiedsamtsZeitung	SchiedsAZ
Zeitschrift für Schiedsverfahren	SchiedsVZ
Schulrecht	SchuR
Schulrecht heute	SchulR heute
Die Sozialgerichtsbarkeit	SGb
Sozialrecht aktuell	SR
Sport und Recht	SpuRt
Der Staat	STAAT
Das Standesamt	StAZ
Steuerrecht kurzgefasst	SteuK
Zeitschrift für Stoffrecht	StoffR
Strafverteidiger-Forum	StraFo
Studentische Zeitschrift für Rechtswissenschaft Heidelberg	StudZR
Steuer und Wirtschaft	StuW
Strafverteidiger	StV
Der Sachverständige	
Straßenverkehrsrecht	SVR
Thüringer Verwaltungsblätter	ThürVBl
Transportrecht	TranspR
Die Unternehmensbesteuerung	Ubg
Archiv für Urheber- und Medienrecht = ab 2018: Archiv für Medienrecht und Medienwissenschaft	UFITA
Der Umsatz-Steuer-Berater	UStB
Umwelt und Planungsrecht	UPR
Umsatzsteuer-Rundschau	UR
Verwaltungsblätter für Baden-Württemberg	VBlBW
Vergaberecht	VergabeR
Versicherungsrecht	VersR
Die Verwaltung	VERW
Verwaltungsarchiv	VerwA
Verbraucherinsolvenz aktuell	VIA
Verwaltungsrundschau	VR
Verkehrsrechts-Sammlung	VRS
Verfassung und Recht in Übersee	VRÜ
Verbraucher und Recht	VuR
Vierteljahresschrift für Sozialrecht	VSSR
Vollstreckung effektiv	Vollstr
Wirtschaft und Recht in Osteuropa	WiRO
Wissenschaftsrecht	WissR
Zeitschrift für Wirtschafts- und Steuerstrafrecht	wistra
Zeitschrift für Wirtschafts- und Bankrecht	WM
Wettbewerb in Recht und Praxis	WRP
Zeitschrift für Deutsches und Europäisches Wasser-, Abwasser- und Bodenschutzrecht	W+B
Wirtschaft und Wettbewerb	WuW
Zeitschrift für ausländisches öffentliches Recht und Völkerrecht	ZaöRV
Zeitschrift für Ausländerrecht und Ausländerpolitik	ZAR
Zeitschrift für Arbeitsrecht und Tarifpolitik in Kirche und Caritas	ZAT
Zeitschrift für Bankrecht und Bankwirtschaft	ZBB
Zeitschrift für Beamtenrecht	ZBR
Zeitschrift für chinesisches Recht	ZChinR
Zeitschrift für Datenschutz	ZD
Zeitschrift für die Steuer- und Erbrechtspraxis	ZErb
Zeitschrift für europäisches Sozial- und Arbeitsrecht	ZESAR
Zeitschrift für Europäisches Privatrecht	ZEuP
Zeitschrift für Europarechtliche Studien	ZEuS
Zeitschrift für Erbrecht und Vermögensnachfolge	ZEV
Zeitschrift für evangelisches Kirchenrecht	ZevKR
Zeitschrift für Arbeitsrecht	ZfA
Zeitschrift für Bergrecht	ZfB
Zeitschrift für deutsches und internationales Bau- und Vergaberecht	ZfBR
Zeitschrift für Digitalisierung und Recht	ZfDR
Zeitschrift für Familien- und Erbrecht	ZFE
Zeitschrift für das Fürsorgewesen	ZfF
Zeitschrift für das gesamte Genossenschaftswesen	ZfgG
Zeitschrift für Personalvertretungsrecht	ZfPR
Zeitschrift für Immobilienrecht	ZfIR
Zeitschrift für die gesamte Privatrechtswissenschaft	ZfPW
Zeitschrift für Rechtssoziologie	ZfRsoz
Zeitschrift für Schadensrecht	zfs
Zeitschrift für Sozialrecht in Deutschland und Europa	ZfSH/SGB
Zeitschrift für Umweltpolitik & Umweltrecht	ZfU
Zeitschrift für Wasserrecht	ZFW
Zeitschrift für Wett- und Glücksspielrecht	ZfWG
Zeitschrift für Zölle und Verbrauchsteuern	ZfZ
Zeitschrift für Gesetzgebung	ZG
Zeitschrift für geistiges Eigentum	ZGE
Zeitschrift für Unternehmens- und Gesellschaftsrecht	ZGR
Zeitschrift für das gesamte Schuldrecht [bzw.Zeitschrift für Vertragsgestaltung, Schuld- und Haftungsrecht]	ZGS
Zeitschrift für das gesamte Handelsrecht und Wirtschaftsrecht	ZHR
Zeitschrift für ausländisches und internationales Arbeits- und Sozialrecht	ZIAS
Zeitschrift für Wirtschaftsrecht	ZIP
Zeitschrift für Internationale Strafrechtsdogmatik	ZIS
Zeitschrift für Internationales Wirtschaftsrecht	IWRZ
Zeitschrift für Japanisches Recht	ZJapanR
Zeitschrift für das Juristische Studium	ZJS
Zeitschrift für Kindschaftsrecht und Jugendhilfe	ZKJ
Zeitschrift für das gesamte Lebensmittelrecht	ZLR
Zeitschrift für Luft- und Weltraumrecht	ZLW
Zeitschrift für das gesamte Medizin- und Gesundheitsrecht	ZMGR
Zeitschrift für Miet- und Raumrecht	ZMR
Zeitschrift für neuere Rechtsgeschichte	ZNR
Zeitschrift für neues Energierecht	ZNER
Zeitschrift für Parlamentsfragen	ZParl
Zeitschrift für Rechtspolitik	ZRP
Zeitschrift für Rechtsgeschichte - Savigny-Zeitschrift	ZRG
Zeitschrift für das Stiftungs- und Vereinswesen	ZStV
Zeitschrift für die gesamte Strafrechtswissenschaft	ZStW
Zeitschrift für Tarifrecht	ZTR
Zeitschrift für Urheber- und Medienrecht	ZUM
Zeitschrift für Umweltrecht	ZUR
Zeitschrift für Vertriebsrecht	ZVertriebsR
Zeitschrift für Verbraucher- und Privat-Insolvenzrecht	ZVI
Zeitschrift für Vergleichende Rechtswissenschaft	ZVR
Zeitschrift für Vertriebsrecht	ZVertriebsR
Zeitschrift für Wettbewerbsrecht	ZWeR
Zeitschrift für Wohnungseigentumsrecht	ZWE
Zeitschrift für Wirtschaftsstrafrecht und Haftung im Unternehmen	ZWH
Zeitschrift für Zivilprozeß	ZZP
ABA Journal	A.B.A. J.
Academ[ic, y]	Acad.
Account [ant, ants, ing, ancy]	Acct.
Administrat[ive, or, ion]	Admin.
Administrative Law Journal	Admin. L.J.
Administrative Law Journal of American University	Admin. L.J. Am. U.
Administrative Law Review	Admin. L. Rev.
Advoca[te, cy]	Advoc.
Affairs	Aff.
Africa[n]	Afr.
African-American Law & Policy Report	Afr.-Am. L. & Pol’y Rep.
Agricultur[e, al]	Agric.
Air	Air
Air Force Law Review	A.F.L. Rev.
Akron Law Review	Akron L. Rev.
Alabama Law Review	Ala. L. Rev.
Alaska Law Review	Alaska L. Rev.
Albany Law Journal of Science & Technology	Alb. L.J. Sci. & Tech
Albany Law Review	Alb. L. Rev.
America[n, s]	Am.
American Bankruptcy Law Journal	Am. Bankr. L.J.
American Bar Association	A.B.A.
American Bar Foundation Research Journal	Am. B. Found. Res. J.
American Criminal Law Review	Am. Crim. L. Rev.
American Indian Law Review	Am. Indian L. Rev.
American Journal of Comparative Law	Am. J. Comp. L.
American Journal of Criminal Law	Am. J. Crim. L.
American Journal of International Arbitration	Am. J. Int'l Arb.
American Journal of Jurisprudence	Am. J. Juris.
American Journal of Law & Medicine	Am. J.L. & Med.
American Journal of Legal History	Am. J. Legal Hist.
American Journal of Trial Advocacy	Am. J. Trial Advoc.
American Law Institute	A.L.I.
American Law Reports	A.L.R.
American University International Law Review	Am. U. Int'l L. Rev.
American University Law Review	Am. U. L. Rev.
And	&
Anglo-American Law Review	Anglo-Am. L. Rev.
Animal Law	Animal L.
Annals	Annals
Annals of the American Academy of Political and Social Science	Annals Am. Acad. Pol. & Soc. Sci.
Annals of Health Law	Annals Health L.
Annual	Ann.
Annual Review of Banking Law	Ann. Rev. Banking L.
Annual Survey of American Law	Ann. Surv. Am. L.
Annual Survey of International and Comparative Law	Ann. Surv. Int’l & Comp. L.
Antitrust	Antitrust
Appellate	App.
Arbitrat[ion, ors]	Arb.
Arizona Law Review	Ariz. L. Rev.
Arizona State Law Journal	Ariz. St. L.J.
Arkansas Law Review	Ark. L. Rev.
Army Lawyer	Army Law.
Association	Ass'n
Atomic Energy Law Journal	Atom. Energy L.J.
Attorney[s]	Att'y[s]
Auckland University Law Review	Auckland U. L. Rev.
Banking Law Journal Banking L.J.	
Bankruptcy	Bankr.
Bankruptcy Developments Journal	Bankr. Dev. J.
Bar	B.
Baylor Law Review	Baylor L. Rev.
Behavior [al]	Behav.
Behaviorial Sciences and the Law	Behav. Sci. & L.
Berkeley Journal of Employment and Labor Law	Berkeley J. Emp. & Lab. L.
Berkeley Journal of Health Care Law	Berkeley J. Health Care L.
Berkeley Journal of International Law	Berkeley J. Int'l L.
Berkeley Technology Law Journal	Berkeley Tech. L.J.
Berkeley Women's Law Journal	Berkeley Women's L.J.
Black Law Journal	Black L.J.
Boston College Environmental Affairs Law Review	B.C. Envtl. Aff. L. Rev.
Boston College International and Comparative Law Review	B.C. Int'l & Comp. L. Rev.
Boston College Law Review	B.C.L. Rev.
Boston College Third World Law Journal	B.C. Third World L.J.
Boston University International Law Journal	B.U. Int'l L.J.
Boston University Journal of Science & Technology Law	B.U. J.Sci. & Tech. L.
Boston University Journal of Tax Law	B.U. J. Tax L.
Boston University Law Review	B.U. L. Rev.
Boston University Public Interest Law Journal	B.U. Pub. Int. L.J.
Brandeis Law Journal	Brandeis L.J.
Briefcase	Briefcase
Brigham Young University Journal of Public Law	BYU J. Pub. L.
Brigham Young University Law Review	BYU L. Rev.
British	Brit.
Brooklyn Journal of International Law	Brook. J. Int'l L.
Brooklyn Law Review	Brook. L. Rev.
Buffalo Criminal Law Review	Buff. Crim. L. Rev.
Buffalo Environmental Law Journal	Buff. Envtl. L.J.
Buffalo Human Rights Law Review	BUff. Hum. Rts. L. Rev.
Buffalo Law Rev.	Buff. L. Rev.
Buffalo Public Interest Law Journal	Buff. Pub. Int. L.J.
Buffalo Women's Law Journal	Buff. Women's L.J.
Bulletin	Bull.
Business	Bus.
Business Law Journal	Bus. L.J.
Business Lawyer	Bus. Law.
Business Week	Bus. Wk.
California Law Review	Cal. L. Rev.
California Regulatory Law Reporter	Cal. Reg. L. Rep.
California State Bar Journal	Cal. St. B.J.
California Western International Law Journal	Cal. W. Int'l Int'l L.J.
California Western Law Review	Cal. W. L. Rev.
Cambridge Law Journal	Cambridge L.J.
Campbell Law Review	Campbell L. Rev.
Canada- United States Law Journal	Can.-U.S. L.J.
Capital Defense Digest	Cap. Def. Dig.
Capital University Law Review	Cap. U. L. Rev.
Cardozo Arts & Entertainment Law Journal	Cardozo Arts & Ent. L.J.
Cardozo Law Review	Cardozo L. Rev.
Cardozo Online Journal of Conflict Resolution	Cardozo Online J. Conflict Resol.
Cardozo Women's Law Journal	Cardozo Women's L.J.
Case & Comment	Case & Comment
Case Western Reserve Journal of International Law	Case W. Res. J. Int'l L.
Case Western Reserve Law Review	Case W. Res. L. Rev.
Catholic Lawyer	Cath. Law
Catholic University Law Review	Cath. U. L. Rev.
Central	Cent.
Chapman Law Review	Chap. L. Rev.
Chartered Life Underwriters	C.L.U.
Chicago Tribune	Chi. Trib.
Chicago-Kent Law Review	Chi.-Kent L. Rev.
Chicano Law Review	Chicano L. Rev.
Chicano-Latino Law Review	Chicano-Latino L. Rev.
Child[ren, ren's]	Child.
Children's Legal Rights Journal	Child. Legal Rts. J.
Chronicle	Chron.
Civil	Civ.
Civil Libert[y, ies]	C.L.
Civil Rights	C.R.
Clearinghouse Review	Clearinghouse Rev.
Cleveland State Law Review	Clev. St. L. Rev.
Cleveland-Marshall Law Review	Clev.-Marshall L. Rev.
Clinical Law Review	Clinical L. Rev.
College	C.
Colorado Journal of International Environmental Law and Policy	Colo. J. Int'l Envtl. L. & Pol'y
Colorado Lawyer	Colo. Law.
Columbia Business Law Review	Colum. Bus. L. Rev.
Columbia Human Rights Law Review	Colum. Hum. Rts. L. Rev.
Columbia Journal of Asian Law	Colum. J. Asian L.
Columbia Journal of East European Law	Colum. J. E. Eur. L.
Columbia Journal of Environmental Law	Columb. J. Envtl. L.
Columbia Journal of European Law	Colum. J. Eur. L.
Columbia Journal of Gender and Law	Colum. J. Gender & L.
Columbia Journal of Law and Social Problems	Colum. J.L. & Soc. Probs.
Columbia Journal of Transnational Law	Colum. J. Transnat'l L.
Columbia Law Review	Colum. L. Rev.
Columbia Science and Technology Law Review	Colum. Sci. & Tech. L. Rev.
