&etc
&etc…
1740-1756
1819-1830
1822
1980
a.d.ruhr
aachener
aangrenzende
aardrijkskunde
aardrijkskundig
abendschule
abenteuer
abhandlungen
abstracts
abteilung
abwasser
academia
academy
acarologie
accessoires
acción
achilles
acqua
acque
acracia
acta
action
actualité
adam
addres-buch
addresbuch
addreß-buch
adelsboek
adesso
adetem
adler
administation
administration
adrastea
adressbuch
adreßbuch
adria-kalender
advertiser
advocate
aechter
affairs
affini
africaine
african
agitatum
agora
agrario
agrarpolitik
agricole
agronomo
ahnenlisten-kartei
ahnentafeln
aikakauslehti
aires
aix-en-provence
akademie
akademii
akademije
aktionär
aktiv
aktuell
aktuell:
al-arabī
al-islam
al-jadeed
al-jadīd
al-kutub
al-maǧmaʿ
al-miṣrī
al-qurā
al-ʿilmī
al-ḥāl
alba
albanian
albanologiques
albanologjike
albertina
albverein
albvereins
alde
alegre
alemantschen
alings°as
allemande
allergnädigst
allerhand
allerletzte
allerley
allgemeines
alma
almanac
almanach
almanaque
alpenverein
alpin
alpin-magazin
alpine
alpinismus
alsaciennes
alsaciens
alsatenbrief
alsatenbriefe
alt-köln
alta
altarul
alte
alten
altenburg
altenburger
altenpflege
alternative
alterthum
alterthumskunde
alterthumsvereine
altertum
altertumskunde
altfränkische
altfränkischer
altonaer
altonaisches
altpreußische
altstadtberichte
alttestamentliche
alzeyer
alʹmanach
amalia
amberg
amberg-information
amberger
american
americano
amerika
amerikanische
amerikastudien
amerique
ammersee-heimatblätter
amministrativa
amministrazioni
amminstrativa
amperland
amst
amsterdam
amtliches
amtsblatt
amusant
amusement
américa
américas
an.schläge
analyse
analytischen
ancient
andacht
andalucía
andy
angeles
angewandte
anglais
angrenzende
animerica
ankara
anmerkungen
anna
annalen
annales
annalist
annals
anneau
annuaire
annual
annuel
annus
année
anschlag
anstalt
anstalts-bedarf
anstalts-umschau
anthropologie
anthropology
anthropos
antichità
antike
antiquary
antologia
anzeigen
anzeiger
anzeigungs-nachrichten
aosta
apartamento
apoldaer
apothecker
apotheke
apotheken
apotheken-umschau
apotheker
apotheker-zeitung
apotre
appartements
appliquées
aqua
arabi
aragonesista
aragón
arayış
arbeitende
arbeiter-fotograf
arbeiter-jugend
arbeiterin
arbeitgeber
arbeitgeberverbände
arbeitsgemeinschaft
arbeitskreis
arbejdsmark
arbor
arcadie
arch+
archaeographical
archaeological
archeologia
archeologické
archeologii
archiefgids
archievenblad
architect
architectura
architektur
archiv
archiv:
archivalische
archivar
archives
archivio
archivnoj
archivní
archivo
archivum
archivwissenschaft
archyv
arguments
argus
arhiva
aria
aristarco
arkivit
armas
arme
armenpflege
arnsberg
arnsberger
arnstadt
arquivo
artisten
artistenbeurs
arunda
ascent
aschaffenburg
aschaffenburger
aschaffenburgs
asia
asie
asmz
aspasie
assemblage
association
astrolabio
astronomical
astronomisch-geodätisches
astronomische
astronomisches
astronomy
astronómicas
atanòr
athenaeum
atlan
atlantis
atoll
atomes
atracción
atti
auckland
audi
audi-magazin
aufgezeichnet
aufklärung
aufrichtige
aufrichtigen
aufsätze
augsburg
augusta
augustin
augustinienne
aurelio
aurora
ausbau
ausbildung
auserlesener
ausgabe
ausland
auslanddeutschtum
auslandsdeutschtum
auslese
ausonia
aussprache
australia
australian
auszra
auteurs
auto
auto-markt
autobörse
automarkt
autonomie
autorevue
autres
außen
aušra
avenue
aviv
avs-mitgliedermagazin
avs-mitteilungen
avvisatore
aérophile
baden-baden
baden-württemberg
badische
bahn-zeit
bahnen
bahriye
baierisch-ökonomischer
baierischer
balak
balkanique
balkanski
baltimore
baltische
bamberger
bambergischer
banatului
bangla
bank
banned
bannkreis
baranyai
barcelona
baretti
barke
bas-normand
basta
baublatt
bauen
bauernkalender
baumgärtnerstamm
bausteine
bauwirtschaft
bauzeitung
bawülon
baybach-bote
bayerische
bayerischen
bayerischer
bayerisches
bayerland
bayern
bayerns
bayreuth
bayreuthische
bayrische
bayrischer
baština
beautiful
beckum
beforderung
beförderung
behar
beilage
beiträge
belehrung
beleuchtung
beleuchtungsarten
belge
belgique
belgrad
belgravia
belle
belles-lettres
beneficenza
benevens
beobachter
beraten
berg
bergakademie
bergakademien
bergauf
berge
bergeerleben
bergenfield
bergische
bergischen
bergischer
bergmannskalender
bergsteiger
bergwanderer
bergwelt
bergwinkel-bote
bericht
berichte
berichterstatter
berlin
berlin;
berliner
berner
berner-kalender
bertelsmann-briefe
berücksichtigung
beseda
besinnung
besitzlosen
besonderer
beste-jahre-magazin
bestrebungen
bestuurswetenschappen
betl
beton
beton-informationen
beton-zement-markt
betreffend
betrieb
betriebswirtschaft
betriebswirtschaftliche
beurre
bevrijdend
bevölkerungspolitik
bevölkerungswissenschaft
bewegung
bewegungen
beytr
beyträge
bezděz
bezirksamt
bezirkshauptmannschaft
bezirkskunde
bharati
bhāratī
biber
biber:
bibliofilia
bibliographical
bibliographique
bibliography
biblioteca
bibliotecarului
bibliotecilor
biblioteka
biblioteki
bibliotheca
bibliotheek
bibliotheekgids
bibliothek
bibliothekar
bibliotheksnachrichten
bibliothekswesen
bibliothèque
