&
(ASCAP)
(n.s.)
A&R
A.B.A
A.F.L
A.L.I
A.L.R
AG
ANA-ZAR
AOStB
ARSP
ASR
AUR
AVR
AW-Prax
AbfallR
Abroad
AcP
Acad
Admin
Advert
Adviser
Advisor
Advoc
AfP
Aff
AfkKR
Afr.-Am
Agric
AiB
Air
Akron
AktStR
Ala
Alaska
Alb
Allied
Am
Anc
Anglo-Am
Animal
Ann
Annals
Antitrust
AnwBl
App
Arb
ArbR
ArbRB
Ariz
Ark
Army
Art
Arts
ArztR
Asian
Ass'n
Atom
Att'ys
AuAS
AuR
Auckland
AöR
B
B.A
B.C
B.C.L
B.J
B.U
BB
BKR
BRAK-Mitt
BUff
BYU
Balt
Banking
Bankr
Basin
BauR
BayVBl
Baylor
Behav
Bene
Berkeley
Bill
Black
BlackLetter
Blutalkohol
Br
Brandeis
Briefcase
Brit
Brook
BtPrax
Buff
Bull
Bus
C
C.L
C.L.U
C.R
C.R.-C.L
CCLR
CCZ
COrp
CR
CSR
Cal
Cambridge
Campbell
Can.-U.S
Cap
Cardozo
Care
Cas
Case
Casebook
Cath
Cent
Change
Chap
Chi
Chi.-Kent
Chicano
Chicano-Latino
Child
Chinese
Chron
Cin
Cir
City
Civ
Clara
Clearinghouse
Clev
Clev.-Marshall
Clinical
Coastal
Colo
Colum
Colum.-VLA
Columb
Com
Comm
Comment
Common
Comp
Computer
Computer/L.J
Conciliation
Conf
Confinement
Conflict
Cong
Conn
Const
Consumer
Contemp
Conv
Cooley
Copyright
Cornell
Corp
Cosm
Creighton
Crim
Crime
Criminology
Ct
Ct,
Cts
Cumb
Current
Currents:
D.C
DAJV
DAR
DB
DGVZ
DNotZ
DPJZ
DRiZ
DS
DSB
DStR
DVBl
DZWIR
Dalhousie
Dame
Davis
Dayton
DePaul
DePaul-LCA
Def
Del
Delinq
Denv
Denver
Dep't
Der
Detroit
Dev
Dick
Diego
Dig
Digest
Dipl
Disp
Domain
Dr
Drake
Drug
DuD
Duke
Duq
DÖD
DÖV
E
EJJL
EUUStB
EWS
EWeRK
EWiR
Ecology
Econ
Economist
Educ
Elder
Elder's
Emerging
Emg
Eminent
Emory
Emp
EnWZ
Energy
Eng
Ent
Env't
Envtl
ErbR
ErbStB
ErtrStB
Est
Ethics
Ethnic
EuGRZ
EuR
EuZA
EuZW
Eur
EurUP
F
F.B.I.S
FA
FF
FR
Fac
Fam
FamFR
FamRB
FamRK
FamRZ
Fed
Fed'n
Feminism
Fern
Fields
Fla
Fodd
Food
FoodR
For
Fordham
Foreign
Forensic
Forest
Fort
Fortune
Found
FuR
FuS
GA
GPR
GRUR
GRUR-Int;
GRUR-Prax
GSZ
GWR
Ga
Gas
Gate
Gender
Geo
GesR
GewArch
Glendale
Global
GmbHR
GmbHStB
Golden
Gonz
Gov't
Great
GuP
Guide
Guild
HFR;
HRRS;
Hall
Hamline
Harv
Hastings
Haw
Health
Herald
High
Hisp
Hist
Hofstra
Hosp
Hous
How
Hum
Human
I+E
IAR
IDEA
IHR
ILSA
IPRB
IPrax
IR
IRZ
IStR
ITRB
IWRZ
Idaho
Ill
Immigr
In
InTeR
Ind
Indep
Indian
Indus
Ineq
InfAuslR
Info
Info-Service]
Inj
Inquiry
Ins
Inst
Int
Int'l
Intell
Inter-Am
Interdisc
Interest
Int’l
Inv
Iowa
Issues
J
J.C
J.Int'l
J.L
J.Sci
JA
JAG
JAMA
JAmt
JOR
JR
JRE
JRP;
JURA
JZ
Jefferson
John's
Journal
JuS
Jud
Judicature
Jur
JurBüro
Jurid
Jurimetrics
Juris
Jurist
Just
Juv
K&R
KJ
KTS
KUR
Kan
KommJur
Kriminalistik
KritV
KuR
Ky
L
L.A
L.F
L.J
L.Q
L.R.A
LKV
LMuR
La
Lab
Lakes'
Land
Law
Lee
Legal
Legis
Liab
Libr
Lincoln
Litig
Little
Loc
Louis
Louis-Warsaw
Loy
MDR
MIR;
ML
MMR
MPR
MR-Int
Mag
Major
Mar
MarkenR
Marq
Marshall
Mary
Mary's
Mason
Mass
Matrim
Matrix
McGeorge
McGill
Md
Me
Med
MedR
Media
Mediation
Melb
Mem
Mercer
Mercy
Mgm't
Mgmt
Miami
Mich
Michigan
MietRB
Mil
Min
Minn
Miss
Misss
Mitchell
Mkt
Mo
Mod
Monash
Mont
Monthly
Moot
MschrKrim
Mtn
Mun
MwStR
N
N&R
N.C
N.D
N.M
N.U
N.Y
N.Y.L
N.Y.U
NEXUS
NJ
NJOZ
NJW
NPLY
NStZ
NVwZ
NWVBl
NZA
NZBau
NZFam
NZG
NZI
NZKart
NZM
NZS
NZV
NZWehrr
NZWiSt
Nat
Nat'l
Nat'lity
NdsVBl
Neb
Negl
Negot
New
Newsl
Newsletter
NordÖR
NotBZ
Nota
Notes
Notre
Nova
NuR
Nw
OER
Ocean
Off
Ohio
Oil
Okla
Online
Online-Zeitschrift
Or
Ord
Org
Osgoode
Otago
Ottawa
P.R
Pa
Pac
Pace
Pat
Pepp
Perf
Pers
PersV
Persp
PflR
PharmR
Pitt
Plains
Plan
Pol
Pol'y
Police
Pol’y
Potomac
Poverty
Prac
Prax
Preventive
Preview
Priv
Prob
Probation
Probs
Proc
Prod
Prof
Prop
Psychiatry
Psychol
Pub
Puget
Q
Quinniplac
R
R&P
RAW
RDV
RDi
RISK
RIW
RNotZ
RPG
RRa
RT
RW
RabelsZ
Race
Raza
RdA
RdE
RdFin
RdJB
RdL
RdTW
Real
Rec
RechtsMed
Ref
Reform
Reg
Regent
Rel
Rep
Rep.-Dig
Res
Resol
Resource
Resources
Resp
Rev
RiA
Rich
Rim
Risk
Rock
Rocky
Roger
RohR
Rpfleger
RphZ
Rts
RuP
RuZ
Rutgers
Rutgers-Cam
S
S.C
S.D
S.M.U
S.U
SGb
SR
STAAT
SVR
San
Santa
Sch
SchiedsAZ
SchiedsVZ
Scholar
SchuR
SchulR
Sci
Scot
Seattle
Sec
Serv
Seton
Sexuality
Signs
Small
Soc
Soc'y
Socialist
Software
Sound
Space
Sport
Sports
SpuRt
St
StAZ
StV
Stan
Stetson
SteuK
StoffR
StraFo
StuW
Stud
StudZR
Suffolk
Sup
Surv
Sw
Sydney
Symp
Syracuse
Sys
SächsVBl
T
T.M
Tax
Tax'n
Taxes
Tech
Telecomm
Temp
Tenn
Tex
Third
Thomas
ThürVBl
Tol
Toronto
Touro
Tr
Trade
Trademark
Transatlantic
Transnat'l
Transp
TranspR
Trial
Trib
Tul
Tulane
Tulsa
U
U.C
U.J
U.L
U.P.R
U.S
U.S.-Mex
U.S.F
UCC
UCLA
UDC/DCSL
UFITA
UMKC
UN
UPR
UR
UStB
UWLA
Ubg
Urb
Use
Utah
V
VBlBW
VERW
VIA
VR
VRS
VRÜ
VSSR
Va
Val
Vand
VergabeR
VersR
VerwA
Vill
Vollstr
Vt
VuR
W
W+B
W.-Nw
WM
WRP
Wake
Wall
Was
Wash
Washburn
Washington
Water
Wayne
Welfare
Wesleyan
Whittier
WiRO
Widener
Wildlife
Willamette
Williams
Wis
WissR
Wk
Wkly
Wm
Women
Women's
World
WuW
Y.B
Yale
ZAR
ZAT
ZBB
ZBR
ZChinR
ZD
ZESAR
ZEV
ZErb
ZEuP
ZEuS
ZFE
ZFW
ZG
ZGE
ZGR
ZGS
ZHR
ZIAS
ZIP
ZIS
ZJS
ZJapanR
ZKJ
ZLR
ZLW
ZMGR
ZMR
ZNER
ZNR
ZParl
ZRG
ZRP
ZStV
ZStW
ZTR
ZUM
ZUR
ZVI
ZVR
ZVertriebsR
ZWE
ZWH
ZWeR
ZZP
ZaöRV
Zeitschrift
ZevKR
ZfA
ZfB
ZfBR
ZfDR
ZfF
ZfIR
ZfPR
ZfPW
ZfRsoz
ZfSH/SGB
ZfU
ZfWG
ZfZ
ZfgG
Zoning
[eher
[online]
also
deutsche
for
heute
info
medstra
npoR
oder
of
on
r+s
ree
und
wistra
zfs
öAT
österreichische
